English,Spanish
become,convertirse
manage,administrar
meant,quiso decir
game,juego
ignore,ignorar
stair,escalera
taken,tomado
party,fiesta
add,agregar
sometimes,a veces
job,trabajo
ten,diez
shot,disparo
date,fecha
quiet,tranquilo
gaze,mirada
group,grupo
loud,alto
straight,derecho
dead,muerto
neck,cuello
beside,al lado de
pause,pausa
number,número
conversation,conversación
chance,oportunidad
we'll,Bueno
rose,rosa
quietly,en silencio
town,ciudad
blood,sangre
color,color
desk,escritorio
dinner,cena
hall,sala
horse,caballo
music,música
brought,trajo
piece,pedazo
anymore,ya no
beautiful,hermoso
order,orden
fire,fuego
office,oficina
TRUE,VERDADERO
although,a pesar de
warm,cálido
easy,fácil
enter,ingresar
perfect,perfecto
mutter,murmurar
softly,suavemente
cross,cruz
shock,choque
smirk,sonrisa afectada
damn,maldición
soft,suave
stomach,estómago
snap,quebrar
spoke,habló
tire,neumático
box,caja
catch,atrapar
skin,piel
teacher,maestro
middle,medio
note,nota
yourself,tú mismo
haven't,no
lunch,almuerzo
tomorrow,mañana
breathe,respirar
clean,limpio
except,excepto
appear,aparecer
lock,cerrar
knock,golpear
bathroom,baño
movie,película
agree,aceptar
offer,oferta
kick,patada
form,forma
confuse,confundir
lay,poner
less,menos
calm,calma
slip,deslizar
weren't,no
sign,firmar
dog,perro
lift,elevar
immediately,inmediatamente
arrive,llegar
deal,trato
tonight,esta noche
usually,generalmente
case,caso
frown,fruncir el ceño
shop,comercio
scare,susto
promise,promesa
mum,mamá
couch,sofá
pay,pagar
state,estado
shit,mierda
wrap,envoltura
pocket,bolsillo
hello,Hola
free,gratis
huge,enorme
ride,conducir
bother,molestar
land,tierra
known,conocido
especially,especialmente
expression,expresión
carry,llevar
ring,anillo
spot,lugar
allow,permitir
several,varios
aren't,no
during,durante
empty,vacío
lady,dama
eyebrow,ceja
strange,extraño
coffee,café
road,camino
threw,lanzar
wide,ancho
bus,autobús
forget,olvidar
gotten,recogido
smell,oler
fear,miedo
press,prensa
boyfriend,novio
blonde,rubio
throw,tirar
round,redondo
sun,sol
tall,alto
glad,contento
age,edad
write,escribir
upon,al
hide,esconder
became,convertirse
crowd,multitud
rain,lluvia
save,ahorrar
trouble,problema
annoy,enojarse
nose,nariz
weird,extraño
death,muerte
beat,derrotar
tone,tono
trip,viaje
six,seis
control,control
nearly,cerca de
consider,considerar
gonna,ir a
join,unirse
learn,aprender
above,arriba
hi,Hola
obviously,obviamente
entire,completo
direction,dirección
foot,pie
angry,enojado
power,fuerza
strong,fuerte
quick,rápido
doctor,doctor
edge,borde
song,canción
asleep,dormido
twenty,veinte
barely,apenas
remain,permanecer
child,niño
enjoy,disfrutar
gun,pistola
slow,lento
city,ciudad
broke,en bancarrota
key,llave
lead,dirigir
throat,garganta
normal,normal
you'd,tú
somewhere,en algún lugar
wake,despertar
pair,par
sky,cielo
funny,divertido
business,negocio
student,alumno
giggle,risilla
bright,brillante
admit,admitir
jeans,vaqueros
given,dado
children,niños
store,almacenar
sweet,dulce
low,bajo
climb,trepar
rub,frotar
apartment,departamento
knee,rodilla
shoe,zapato
attack,ataque
bedroom,dormitorio
joke,broma
spent,gastado
situation,situación
stuck,atascado
gently,suavemente
possible,posible
cell,celúla
mention,mencionar
silent,silencioso
definitely,definitivamente
rush,correr
hung,colgado
brush,cepillar
perhaps,tal vez
groan,gemido
ass,culo
rock,roca
card,tarjeta
lose,perder
blush,rubor
besides,además
crazy,loco
type,tipo
bore,aburrir
afraid,asustado
chase,perseguir
respond,responder
marry,casar
remind,recordar
pack,embalar
daughter,hija
serious,grave
girlfriend,novia
mad,enojado
somehow,de alguna manera
buy,comprar
sent,enviado
tight,ajustado
simply,simplemente
trust,confianza
imagine,imaginar
wind,viento
chuckle,risita
bar,bar
pink,rosa
shove,empujón
ball,pelota
sight,vista
drag,arrastrar
they'd,ellos
human,humano
truth,verdad
share,compartir
area,área
concern,inquietud
shouldn't,no debería
team,equipo
escape,escapar
mumble,mascullar
often,a menudo
search,buscar
apparently,aparentemente
attempt,intentar
son,hijo
within,dentro
band,banda
cute,lindo
led,condujo
memory,memoria
anger,enojo
fly,volar
paint,pintar
bottle,botella
busy,ocupado
comment,comentario
exclaim,exclamar
avoid,evitar
grow,crecer
grey,gris
mirror,espejo
gasp,jadear
hallway,pasillo
dear,estimado
star,estrella
sick,enfermo
cat,gato
counter,encimera
interrupt,interrumpir
none,ninguno
blink,parpadear
spend,gastar
usual,habitual
worse,peor
locker,armario
important,importante
favorite,favorito
grip,agarre
TV,TELEVISOR
ice,hielo
pretend,pretender
settle,asentarse
amaze,asombro
pop,estallido
disappear,desaparecer
carefully,con cuidado
train,tren
stick,palo
guard,guardia
teeth,dientes
flash,destello
uncle,tío
send,enviar
doubt,duda
visit,visita
nervous,nervioso
excite,excitar
approach,acercarse
excuse,disculpar
fit,adaptar
noise,ruido
study,estudiar
letter,carta
police,policía
eventually,eventualmente
burn,quemar
field,campo
hospital,hospital
tie,atar
summer,verano
huh,eh
shift,cambio
self,ser
hurry,apurarse
greet,saludar
wife,esposa
position,posición
we've,tenemos
wipe,limpiar
heavy,pesado
slam,golpe
broken,roto
complete,completo
space,espacio
brain,cerebro
tiny,diminuto
pants,pantalones
ah,ahorcado
punch,puñetazo
shower,ducha
tongue,lengua
afternoon,tarde
seriously,en serio
cup,taza
further,más
race,carrera
recognize,reconocer
computer,computadora
rang,sonó
safe,seguro
jacket,chaqueta
bottom,abajo
hundred,centenar
relax,relajarse
sudden,repentino
wow,Guau
college,colega
flip,voltear
mood,ánimo
track,pista
crack,grieta
block,bloquear
handle,manejar
themselves,ellos mismos
drove,condujo
seven,Siete
struggle,lucha
whether,si
ahead,adelante
sad,triste
dry,seco
women,mujer
focus,enfocar
repeat,repetir
thick,grueso
relationship,relación
jerk,idiota
present,presente
suck,chupar
bell,campana
surround,rodear
evening,noche
bite,morder
single,soltero
fault,falla
shadow,sombra
wood,madera
easily,fácilmente
woke,despierto
smoke,fumar
draw,dibujar
suggest,sugerir
wet,húmedo
accept,aceptar
third,tercero
totally,totalmente
wore,vistió
breakfast,desayuno
trail,camino
animal,animal
warn,advertir
aunt,tía
sir,Señor
piss,orinar
burst,explosión
match,fósforo
fix,arreglar
practically,prácticamente
odd,extraño
wash,lavar
sing,cantar
inch,pulgada
size,tamaño
secret,secreto
who's,Quién es
clock,reloj
company,compañía
view,vista
suit,traje
forever,para siempre
familiar,familiar
forehead,frente
shoot,disparar
grew,creció
stretch,estirar
pound,libra
despite,a pesar de
response,respuesta
center,centro
curl,rizo
slight,leve
toss,sacudida
beneath,bajo
fist,puño
welcome,bienvenido
laughter,risa
angel,ángel
Christmas,Navidad
we'd,casarse
main,principal
simple,simple
neither,ni
distance,distancia
comfort,comodidad
upset,decepcionado
assume,asumir
eight,ocho
gather,recolectar
lucky,afortunado
fade,desteñir
Ms.,EM.
coat,abrigo
special,especial
awkward,extraño
certain,cierto
plate,lámina
darkness,oscuridad
practice,práctica
obvious,obvio
grade,calificación
cream,crema
choice,elección
hardly,difícilmente
pale,pálido
thin,delgado
button,botón
chocolate,chocolate
refuse,rechazar
slid,deslizamiento
pillow,almohada
thirty,treinta
count,contar
honestly,honestamente
poor,pobre
motion,movimiento
storm,tormenta
lightly,ligeramente
nobody,nadie
experience,experiencia
path,camino
period,período
dare,atrevimiento
demand,demanda
comfortable,cómodo
clearly,claramente
silver,plata
peer,par
birthday,cumpleaños
disgust,asco
embarrass,avergonzar
bought,compró
test,prueba
lap,regazo
bet,apuesta
loudly,fuerte
driver,conductor
murmur,murmullo
taste,gusto
perfectly,perfectamente
squeeze,estrujar
board,junta
worth,valer
fold,doblar
spread,desparramar
crap,tonterías
emotion,emoción
subject,sujeto
pour,verter
laid,establecido
lower,más bajo
mile,milla
yea,sí
page,página
pile,montón
snow,nieve
message,mensaje
English,Inglés
scene,escena
sink,hundir
fail,fallar
forgot,olvidó
hole,agujero
silently,silenciosamente
heat,calor
weekend,fin de semana
drew,dibujó
guitar,guitarra
sweat,sudor
unless,a menos que
cloud,nube
waist,cintura
slap,bofetada
argue,argumentar
grass,césped
idiot,estúpido
screen,pantalla
yesterday,ayer
swear,jurar
twin,mellizo
instantly,instantáneamente
apart,aparte
narrow,angosto
opposite,opuesto
blow,explotar
wrist,muñeca
earth,tierra
action,acción
circle,círculo
forgotten,olvidado
list,lista
closet,armario
drunk,ebrio
shape,forma
yellow,amarillo
twist,girar
weight,peso
smart,elegante
it'll,lo hará
treat,tratar
pool,piscina
prepare,preparar
awake,despierto
certainly,ciertamente
tease,fastidiar
contact,contacto
slide,deslizar
wonderful,maravilloso
bitch,perra
reveal,revelar
swing,balancearse
truck,camión
anywhere,en cualquier lugar
flower,flor
upstairs,piso superior
hers,suyo
itself,sí mismo
wander,deambular
downstairs,abajo
football,fútbol americano
possibly,posiblemente
rip,rotura
forest,bosque
mostly,principalmente
bloody,sangriento
church,iglesia
gay,gay
stone,piedra
husband,marido
sex,sexo
trick,truco
yours,tuyo
growl,gruñido
club,club
Friday,Viernes
stage,escenario
include,incluir
sip,sorbo
invite,invitar
sharp,afilado
convince,convencer
sheet,hoja
absolutely,absolutamente
orange,naranja
relief,alivio
apologize,disculparse
art,arte
he'll,infierno
remove,eliminar
crash,chocar
van,camioneta
curse,maldición
alive,vivo
blanket,frazada
receive,recibir
tip,consejo
rise,elevar
tightly,estrechamente
waste,desperdiciar
bowl,bol
fallen,caído
river,río
mama,mamá
pace,paso
honey,Miel
swallow,tragar
king,rey
camera,cámara
deserve,merecer
dirty,sucio
chin,mentón
doorway,puerta
image,imagen
cookie,Galleta
homework,tarea
hat,sombrero
luck,suerte
aside,aparte
information,información
fifteen,quince
fair,justo
player,jugador
monster,monstruo
gate,puerta
win,ganar
below,abajo
ceiling,techo
click,hacer clic
cook,cocinar
travel,viajar
fish,pez
lit,iluminado
nervously,nerviosamente
towel,toalla
shiver,temblar
final,final
horrible,horrible
station,estación
camp,acampar
hungry,hambriento
thousand,mil
evil,demonio
rich,rico
war,guerra
involve,involucrar
jaw,mandíbula
uncomfortable,incómodo
directly,directamente
level,nivel
double,doble
nine,nueve
creature,criatura
glow,brillo
somewhat,un poco
blame,culpa
entrance,entrada
hip,cadera
fresh,fresco
hiss,silbido
normally,normalmente
tap,grifo
machine,máquina
ruin,ruina
bear,oso
rule,regla
till,hasta
cock,polla
stumble,tropezón
complain,quejarse
everybody,todos
truly,realmente
nurse,enfermero
speed,velocidad
hmm,Mmm
panic,pánico
smooth,liso
weak,débil
good-bye,adiós
would've,lo haría
extra,extra
gesture,gesto
scowl,ceño
beer,cerveza
release,liberar
country,país
officer,oficial
careful,cuidadoso
create,crear
hill,colina
snort,bufido
flew,voló
heel,tacón
brow,frente
charge,cargar
flat,departamento
plus,más
switch,cambiar
whenever,cuando sea
drift,deriva
metal,metal
discover,descubrir
wheel,rueda
skirt,falda
pat,palmadita
ate,comió
tea,té
hotel,hotel
sob,sollozo
future,futuro
record,registro
boot,bota
likely,probable
cheer,alegría
gold,oro
prove,probar
ha,Ja
twice,dos veces
aware,consciente
lack,falta
princess,princesa
bench,banco
cousin,primo
detail,detalle
amount,cantidad
bird,pájaro
backward,hacia atrás
crush,aplastar
cigarette,cigarrillo
faint,débil
belong,pertenecer
stranger,extraño
beach,playa
load,carga
everywhere,en todos lados
scratch,rascar
history,historia
restaurant,restaurante
event,evento
extremely,extremadamente
widen,ensanchar
clutch,embrague
due,pendiente
tug,tirón
beyond,más allá de
happily,felizmente
mistake,error
palm,palmera
amuse,entretener
guest,invitado
Saturday,Sábado
wooden,de madera
worst,el peor
exit,salida
plastic,el plastico
reality,realidad
wince,contraerse de dolor
announce,anunciar
gotta,tengo que
slept,durmió
she'll,caparazón
member,miembro
choose,elegir
Dr.,Dr.
swim,nadar
alarm,alarma
crawl,gatear
dollar,dólar
knife,cuchillo
magic,magia
paid,pagado
pizza,pizza
purse,cartera
gift,regalo
chicken,pollo
plane,avión
choke,ahogo
screw,tornillo
protest,protesta
base,base
drug,droga
introduce,introducir
sleeve,manga
movement,movimienot
loose,perder
bare,desnudo
wanna,querer
difficult,difícil
frame,marco
spin,girar
fake,falso
pen,bolígrafo
understood,comprendido
nor,ni
unfortunately,desafortunadamente
written,escrito
decision,decisión
beg,mendigar
heavily,fuertemente
insist,insistir
soul,alma
random,aleatorio
sport,deporte
male,masculino
urge,urgir
million,millón
yawn,bostezo
backpack,mochila
judge,juez
startle,asustar
bunch,racimo
stream,arroyo
they'll,ellos
muscle,músculo
yard,patio
accident,accidente
dragon,continuar
sentence,oración
fool,tonto
torn,rasgado
bow,arco
echo,eco
mix,mezcla
bury,enterrar
system,sistema
dirt,suciedad
spirit,espíritu
leaf,hoja
protect,proteger
row,fila
forth,adelante
purple,púrpura
bang,estallido
curious,curioso
nearby,cercano
nowhere,en ningún lugar
collapse,colapsar
hop,brincar
proud,orgulloso
wing,ala
destroy,destruir
sea,mar
separate,separado
silly,tonto
wound,herida
honest,honesto
battle,batalla
born,nacido
cough,tos
mountain,montaña
split,dividir
square,cuadrado
underneath,debajo
bike,bicicleta
process,proceso
somebody,alguien
classroom,aula
presence,presencia
whose,cuyo
grown,crecido
hidden,oculto
serve,atender
female,femenino
garden,jardín
meal,comida
unable,incapaz
elbow,codo
support,apoyo
bridge,puente
reaction,reacción
skip,saltar
wild,salvaje
angrily,furiosamente
effect,efecto
threaten,amenazar
basically,básicamente
smack,tortazo
stroke,ataque
flow,fluir
moan,gemir
plant,planta
impossible,imposible
bruise,moretón
disappoint,decepcionar
energy,energía
relieve,aliviar
confusion,confusión
wedding,boda
fat,gordo
bill,factura
dude,dudar
address,DIRECCIÓN
cast,elenco
naked,desnudo
toy,juguete
math,matemáticas
personal,personal
ship,barco
spun,hilado
chat,charlar
pray,orar
whip,látigo
grasp,comprender
hasn't,no
float,flotar
fully,completamente
gorgeous,espléndido
indeed,en efecto
nail,clavo
vision,visión
innocent,inocente
friendly,amigable
jealous,celoso
swung,balancearse
flame,fuego
dorm,residencia universitaria
driveway,entrada de coches
spill,derramar
gang,pandilla
murder,asesinato
respect,respeto
bent,doblado
tail,cola
inform,informar
lesson,lección
whine,gimoteo
clench,apretar
excitement,excitación
library,biblioteca
lord,caballero
surface,superficie
dust,polvo
dump,vertedero
feature,característica
object,objeto
weapon,arma
calmly,tranquilamente
hesitate,dudar
hint,pista
law,ley
magazine,revista
among,entre
boss,jefe
file,archivo
leather,cuero
result,resultado
thrown,lanzado
toe,dedo del pie
terrible,horrible
local,local
project,proyecto
won,ganado
radio,radio
regret,arrepentirse
grumble,queja
otherwise,de lo contrario
ridiculous,ridículo
CD,CD
lovely,hermoso
mock,imitar
effort,esfuerzo
fan,admirador
nerve,nervio
report,informe
stall,parar
elevator,ascensor
mate,compañero
bastard,bastardo
grunt,gruñido
o'clock,en punto
rope,soga
entirely,enteramente
frighten,asustar
shade,sombra
strength,fortaleza
bone,hueso
exchange,intercambio
flight,vuelo
Monday,Lunes
partner,pareja
plain,plano
shine,brillar
cafeteria,cafetería
beam,haz
exist,existir
porch,porche
queen,reina
squeal,chillido
faith,fe
pierce,atravesar
remark,observación
content,contenido
ease,facilidad
flick,película
mall,centro comercial
cannot,no puedo
carpet,alfombra
length,longitud
replace,reemplazar
duck,pato
bump,bulto
common,común
style,estilo
tan,broncearse
cake,pastel
court,corte
previous,anterior
balance,balance
bank,banco
blind,ciego
dangerous,peligroso
particular,particular
sell,vender
wrote,escribió
distract,distraer
melt,derretir
popular,popular
social,social
teach,enseñar
appearance,apariencia
correct,correcto
lake,lago
public,público
sarcastically,sarcásticamente
guilty,culpable
kinda,un poco
shall,deberá
television,televisión
boat,bote
firmly,firmemente
tent,carpa
thumb,pulgar
manner,manera
flush,enjuagar
roof,techo
schedule,cronograma
dine,cenar
weather,clima
casually,por casualidad
moon,luna
difference,diferencia
butt,culata
charm,encanto
feed,alimentar
frustration,frustración
gentle,amable
hook,gancho
bounce,rebotar
particularly,particularmente
pleasure,placer
sneak,furtivo
leader,líder
rage,furia
shriek,grito
suffer,sufrir
Sunday,Domingo
argument,argumento
pregnant,embarazada
discuss,conversar
statement,declaración
ticket,boleto
dig,excavar
doll,muñeca
chill,enfriar
fence,cerca
horror,horror
built,construido
cop,policía
security,seguridad
sidewalk,acera
breast,mama
curtain,cortina
whom,a quien
fifty,cincuenta
giant,gigante
milk,leche
recall,recordar
term,término
footstep,paso
stun,aturdir
tuck,pliegue
clothing,ropa
lick,lamer
joy,alegría
ugly,feo
hopefully,con un poco de suerte
soldier,soldado
plead,alegar
struck,golpeado
trap,trampa
opinion,opinión
plenty,infinidad
tank,tanque
breeze,brisa
awesome,impresionante
desire,deseo
roommate,compañero de cuarto
halfway,Medio camino
opportunity,oportunidad
outfit,atuendo
rough,bruto
ain't,no
beauty,belleza
chose,elegir
snake,serpiente
tape,cinta
badly,gravemente
cheat,engañar
daddy,papá
roar,rugido
describe,describir
desperately,desesperadamente
height,altura
thigh,hermético
tilt,inclinación
deeply,profundamente
friendship,amistad
winter,invierno
witch,bruja
worn,gastado
condition,condición
enemy,enemigo
golden,dorado
sofa,sofá
master,maestro
rude,brusco
throughout,a lo largo de
assure,asegurar
damage,daño
natural,natural
steal,robar
belt,cinturón
cage,jaula
claim,afirmar
nightmare,pesadilla
prefer,preferir
purpose,objetivo
merely,meramente
pin,alfiler
French,Francés
sadly,desafortunadamente
uniform,uniforme
branch,rama
direct,directo
hunter,cazador
juice,jugo
character,personaje
pure,puro
stain,mancha
various,varios
gain,ganar
soak,remojar
lately,últimamente
pitch,paso
accent,acento
they've,ellos tienen
tremble,temblar
cabin,cabina
chew,masticar
physical,físico
puzzle,rompecabezas
explode,explotar
steady,estable
how's,como esta
pet,mascota
sake,beneficio
compare,comparar
principal,principal
scan,escanear
forty,cuarenta
impress,impresionar
mentally,mentalmente
react,reaccionar
sandwich,sándwich
shy,tímido
twelve,doce
whilst,mientras que
bullet,bala
challenge,desafío
command,dominio
examine,examinar
film,película
appreciate,agradecer
tense,tenso
blank,blanco
blew,sopló
fought,luchó
gym,gimnasia
passenger,pasajero
teenager,adolescente
dish,plato
drawn,dibujado
scary,aterrador
unlike,a diferencia de
straighten,enderezar
strain,cepa
tune,melodía
constantly,constantemente
famous,famoso
marriage,casamiento
bound,atado
fancy,elegante
issue,asunto
warmth,calor
awhile,Un rato
collect,recolectar
concentrate,concentrarse
copy,Copiar
disbelief,incredulidad
tighten,apretar
determine,determinar
favor,favor
mental,mental
bush,arbusto
forgive,perdonar
aim,apuntar
embrace,abarcar
fairly,equitativamente
froze,congelarse
insult,insulto
option,opción
post,correo
resist,resistir
spoken,hablado
apple,manzana
general,general
instant,instante
jeep,todoterreno
emerge,surgir
neighbor,vecino
pressure,presión
service,servicio
shuffle,barajar
briefly,brevemente
notebook,computadora portátil
peace,paz
string,cadena
wine,vino
dash,estrellarse
gut,intestino
stress,estrés
connect,conectar
language,idioma
private,privado
spring,primavera
chip,chip
puppy,cachorro
ache,dolor
desperate,desesperado
habit,hábito
necessary,necesario
nope,no
pencil,lápiz
satisfy,satisfacer
deny,denegar
mommy,mami
attitude,actitud
dial,marcar
painful,doloroso
display,mostrar
frustrate,frustrar
it'd,lo hicieron
tend,tender
exact,exacto
powerful,poderoso
nature,naturaleza
photo,foto
total,total
video,video
egg,huevo
occur,ocurrir
anybody,cualquiera
corridor,corredor
gulp,trago
trace,rastro
whoever,quien
brief,breve
exhaust,escape
pout,abadejo
terrify,aterrorizar
chapter,capítulo
insane,loco
spell,deletrear
surely,seguramente
tray,bandeja
alcohol,alcohol
chain,cadena
fashion,moda
garage,cochera
inquire,preguntar
candy,dulce
similar,similar
bark,ladrar
flirt,coquetear
pathetic,patético
supply,suministrar
tower,torre
engine,motor
frozen,congelado
map,mapa
toilet,baño
background,fondo
shudder,estremecimiento
spider,araña
adult,adulto
cheap,barato
clue,clave
hazel,color avellana
irritate,irritar
sand,arena
quarter,cuarto
spare,repuesto
American,Americano
rid,deshacerse
spat,escupió
pot,maceta
awful,horrible
bleed,sangrar
fate,destino
jog,empujoncito
strike,huelga
grimace,mueca
holiday,día festivo
whistle,silbar
agreement,acuerdo
dull,aburrido
expensive,caro
snatch,arrebatar
sometime,a veces
ability,capacidad
campus,instalaciones
collar,cuello
disturb,molestar
flicker,parpadeo
proceed,proceder
recently,recientemente
risk,riesgo
skill,habilidad
topic,tema
defense,defensa
fry,freír
luckily,afortunadamente
retort,retorta
captain,capitán
eaten,comido
glove,guante
mid,medio
owner,dueño
cheese,queso
yank,tirón
afterward,después
closely,cercanamente
coach,entrenador
feather,pluma
handsome,elegante
New York,Nueva York
